example_set,dataset,custom_id,pilot_row_id,category,market_direction,market_delta,prior,market_after,best_candidate_id,best_posterior,best_delta,best_error,oracle_improvement_vs_persistence,gap_type,bracket_status,candidate_posteriors,candidate_deltas,candidate_directions,recommended_candidate_id
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_0066__mixed_blind__neutral_forecaster__s00,kalshi_test_0066,Elections,up,0.2758,0.2000000000000001,0.4758000000000001,E2,0.2537,0.0536999999999999,0.2221,0.0537,right_direction_under_update,all_below_target,0.2219|0.2537|0.2000|0.2359|0.2188,0.0219|0.0537|0.0000|0.0359|0.0188,flat|up,E1
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_0750__mixed_blind__neutral_forecaster__s00,kalshi_test_0750,Politics,down,-0.2472,0.4532,0.206,E1,0.4,-0.0531999999999999,0.194,0.0532,right_direction_under_update,all_above_target,0.4000|0.4900|0.5500|0.4532|0.5000,-0.0532|0.0368|0.0968|0.0000|0.0468,down|flat|up,E5
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_remaining22_fullnews_bounded_ensemble5_20260629__kalshi_test_0544__mixed_blind__neutral_forecaster__s00,kalshi_test_0544,Politics,up,0.0705,0.09070000000000009,0.16120000000000007,E2,0.15,0.0592999999999999,0.0112,0.05929999999999999,near_hit,all_below_target,0.1200|0.1500|0.0907,0.0293|0.0593|0.0000,flat|up,
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_0735__mixed_blind__neutral_forecaster__s00,kalshi_test_0735,Elections,down,-0.04,0.08,0.04,E3,0.06,-0.02,0.0199999999999999,0.0200000000000001,near_hit,all_above_target,0.0800|0.1200|0.0600|0.0900|0.0800,0.0000|0.0400|-0.0200|0.0100|0.0000,down|flat|up,E1
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_1100__mixed_blind__neutral_forecaster__s00,kalshi_test_1100,Politics,up,0.1883,0.37,0.5583,E1,0.53,0.16,0.0282999999999999,0.1600000000000001,right_direction_under_update,all_below_target,0.5300|0.4700|0.3700|0.4000|0.4500,0.1600|0.1000|0.0000|0.0300|0.0800,flat|up,E1
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_remaining22_fullnews_bounded_ensemble5_20260629__kalshi_test_0752__mixed_blind__neutral_forecaster__s00,kalshi_test_0752,Politics,down,-0.0531,0.0631,0.010000000000000002,E2,0.04,-0.0231,0.03,0.023100000000000002,right_direction_under_update,all_above_target,0.0800|0.0400|0.0500|0.0631|0.0700,0.0169|-0.0231|-0.0131|0.0000|0.0069,down|flat|up,E1
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_1103__mixed_blind__neutral_forecaster__s00,kalshi_test_1103,Politics,down,-0.188,0.3069,0.1189,E2,0.15,-0.1569,0.0310999999999999,0.1569000000000001,right_direction_under_update,all_above_target,0.4000|0.1500|0.3500|0.2500,0.0931|-0.1569|0.0431|-0.0569,down|up,E1
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_0736__mixed_blind__neutral_forecaster__s00,kalshi_test_0736,Elections,up,0.04,0.04,0.08,E3,0.045,0.0049999999999999,0.035,0.0049999999999999975,right_direction_under_update,all_below_target,0.0000|0.0400|0.0450|0.0400|0.0350,-0.0400|0.0000|0.0050|0.0000|-0.0050,down|flat|up,E2
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_0503__mixed_blind__neutral_forecaster__s00,kalshi_test_0503,Elections,up,0.5967,0.26,0.8567,E2,0.82,0.5599999999999999,0.0367,0.56,right_direction_under_update,all_below_target,0.7400|0.8200|0.7800|0.7600|0.7700,0.4800|0.5600|0.5200|0.5000|0.5100,up,E2
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_remaining22_fullnews_bounded_ensemble5_20260629__kalshi_test_0232__mixed_blind__neutral_forecaster__s00,kalshi_test_0232,Politics,up,0.0515999999999999,0.9071,0.9586999999999999,E5,0.92,0.0129,0.0386999999999999,0.012900000000000002,right_direction_under_update,all_below_target,0.8800|0.9150|0.9071|0.8900|0.9200,-0.0271|0.0079|0.0000|-0.0171|0.0129,down|flat|up,E1
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_remaining22_fullnews_bounded_ensemble5_20260629__kalshi_test_1113__mixed_blind__neutral_forecaster__s00,kalshi_test_1113,Politics,up,0.0867,0.744,0.8307,E4,0.79,0.046,0.0406999999999999,0.046000000000000096,right_direction_under_update,all_below_target,0.7700|0.7100|0.7900|0.7300,0.0260|-0.0340|0.0460|-0.0140,down|up,E1
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_remaining22_fullnews_bounded_ensemble5_20260629__kalshi_test_1111__mixed_blind__neutral_forecaster__s00,kalshi_test_1111,Politics,up,0.0908999999999999,0.52,0.6108999999999999,E2,0.57,0.0499999999999999,0.0409,0.0499999999999999,right_direction_under_update,all_below_target,0.5500|0.5700|0.5300|0.5200|0.5200,0.0300|0.0500|0.0100|0.0000|0.0000,flat|up,E1
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_0261__mixed_blind__neutral_forecaster__s00,kalshi_test_0261,Companies,up,0.0793,0.8841,0.9634,E2,0.92,0.0359,0.0433999999999999,0.0359000000000001,right_direction_under_update,all_below_target,0.8750|0.9200|0.8900|0.8600|0.9000,-0.0091|0.0359|0.0059|-0.0241|0.0159,down|up,E3
smallest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_remaining22_fullnews_bounded_ensemble5_20260629__kalshi_test_0545__mixed_blind__neutral_forecaster__s00,kalshi_test_0545,Politics,up,0.0465,0.1838,0.2303,E1,0.1838,0.0,0.0465,0.0,no_right_direction_candidate,all_below_target,0.1838|0.1838|0.1838|0.1838|0.1838,0.0000|0.0000|0.0000|0.0000|0.0000,flat,E1
